Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
20,2011,2011-10-02,,4,,PHI,,SFO,L 23-24,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
21,2011,2011-10-09,,5,,PHI,@,BUF,L 24-31,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
22,2011,2011-10-16,,6,,PHI,@,WAS,W 20-13,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
23,2011,2011-10-30,,8,,PHI,,DAL,W 34-7,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
24,2011,2011-11-07,8,9,23.218,PHI,,CHI,L 24-30,,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,0,0,,0,0,0,0,,,,,,,
25,2011,2011-11-13,9,10,23.224,PHI,,ARI,L 17-21,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,
26,2011,2011-11-20,,11,,PHI,@,NYG,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,2011,2011-11-27,,12,,PHI,,NWE,L 20-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,2011,2011-12-01,,13,,PHI,@,SEA,L 14-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,2011,2011-12-11,,14,,PHI,@,MIA,W 26-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,2011,2011-12-18,14,15,23.259,PHI,,NYJ,W 45-19,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
31,2011,2011-12-24,,16,,PHI,@,DAL,W 20-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,2011,2012-01-01,,17,,PHI,,WAS,W 34-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,2012,2012-09-09,1,1,24.159,PHI,@,CLE,W 17-16,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,4,7%,0,0%,
34,2012,2012-09-16,2,2,24.166,PHI,,BAL,W 24-23,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,13%,0,0%,
35,2012,2012-09-23,3,3,24.173,PHI,@,ARI,L 6-27,,0,0,,0,0,0,0.5,3,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,27%,0,0%,
36,2012,2012-09-30,4,4,24.180,PHI,,NYG,W 19-17,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,10,15%,0,0%,
37,2012,2012-10-07,5,5,24.187,PHI,@,PIT,L 14-16,,0,0,,0,0,0,0.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,18,25%,0,0%,
38,2012,2012-10-14,6,6,24.194,PHI,,DET,L 23-26,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,23%,0,0%,
39,2012,2012-10-28,7,8,24.208,PHI,,ATL,L 17-30,,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,31,41%,0,0%,
40,2012,2012-11-05,8,9,24.216,PHI,@,NOR,L 13-28,,0,0,,0,0,0,1.0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0%,21,38%,0,0%,
41,2012,2012-11-11,9,10,24.222,PHI,,DAL,L 23-38,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,22,41%,0,0%,
42,2012,2012-11-18,10,11,24.229,PHI,@,WAS,L 6-31,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,22,42%,1,4%,
43,2012,2012-11-26,11,12,24.237,PHI,,CAR,L 22-30,*,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,30,44%,2,7%,
44,2012,2012-12-02,12,13,24.243,PHI,@,DAL,L 33-38,*,0,0,,0,0,0,1.5,4,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0%,31,48%,5,17%,
45,2012,2012-12-09,13,14,24.250,PHI,@,TAM,W 23-21,*,0,0,,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,65%,3,9%,
46,2012,2012-12-13,14,15,24.254,PHI,,CIN,L 13-34,*,0,0,,0,0,0,2.5,4,2,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0%,52,67%,1,3%,
47,2012,2012-12-23,15,16,24.264,PHI,,WAS,L 20-27,*,0,0,,0,0,0,0.0,6,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,39,74%,1,4%,
48,2012,2012-12-30,16,17,24.271,PHI,@,NYG,L 7-42,*,0,0,,0,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,78%,6,26%,
49,2013,2013-09-09,1,1,25.159,PHI,@,WAS,W 33-27,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,16,21%,21,68%,
50,2013,2013-09-15,2,2,25.165,PHI,,SDG,L 30-33,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,16,19%,19,56%,
51,2013,2013-09-19,3,3,25.169,PHI,,KAN,L 16-26,,0,0,,0,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,17,20%,20,65%,
52,2013,2013-09-29,4,4,25.179,PHI,@,DEN,L 20-52,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,27%,19,56%,
53,2013,2013-10-06,5,5,25.186,PHI,@,NYG,W 36-21,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,22,30%,19,51%,
54,2013,2013-10-13,6,6,25.193,PHI,@,TAM,W 31-20,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,23,32%,22,73%,
55,2013,2013-10-20,7,7,25.200,PHI,,DAL,L 3-17,,0,0,,0,0,0,0.0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,18,23%,18,62%,
56,2013,2013-10-27,8,8,25.207,PHI,,NYG,L 7-15,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,18,24%,19,73%,
57,2013,2013-11-03,9,9,25.214,PHI,@,OAK,W 49-20,,1,14,14.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,29%,26,67%,
58,2013,2013-11-10,10,10,25.221,PHI,@,GNB,W 27-13,,1,0,0.00,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,17,22%,14,56%,
59,2013,2013-11-17,11,11,25.228,PHI,,WAS,W 24-16,,0,0,,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,34%,20,83%,
60,2013,2013-12-01,12,13,25.242,PHI,,ARI,W 24-21,,0,0,,0,0,0,2.0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0%,13,18%,20,71%,
61,2013,2013-12-08,13,14,25.249,PHI,,DET,W 34-20,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,21,34%,15,65%,
62,2013,2013-12-15,14,15,25.256,PHI,@,MIN,L 30-48,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,20,27%,14,40%,
63,2013,2013-12-22,15,16,25.263,PHI,,CHI,W 54-11,,0,0,,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,27,42%,11,38%,
64,2013,2013-12-29,16,17,25.270,PHI,@,DAL,W 24-22,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,19,29%,11,41%,
65,2014,2014-09-07,1,1,26.157,PHI,,JAX,W 34-17,,0,0,,0,0,0,0.0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,25,34%,11,31%,
66,2014,2014-09-15,2,2,26.165,PHI,@,IND,W 30-27,,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,23,32%,12,38%,
67,2014,2014-09-21,3,3,26.171,PHI,,WAS,W 37-34,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,27,35%,16,42%,
68,2014,2014-09-28,4,4,26.178,PHI,@,SFO,L 21-26,,0,0,,0,0,0,1.0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,28,34%,11,34%,
69,2014,2014-10-05,5,5,26.185,PHI,,STL,W 34-28,,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0%,30,38%,12,39%,
70,2014,2014-10-12,6,6,26.192,PHI,,NYG,W 27-0,,0,0,,0,0,0,1.0,4,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0%,33,52%,7,25%,
71,2014,2014-10-26,7,8,26.206,PHI,@,ARI,L 20-24,,0,0,,0,0,0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,40%,14,44%,
72,2014,2014-11-02,8,9,26.213,PHI,@,HOU,W 31-21,,0,0,,0,0,0,1.0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,20,33%,13,48%,
73,2014,2014-11-10,9,10,26.221,PHI,,CAR,W 45-21,,0,0,,0,0,0,1.5,3,2,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0%,40,49%,15,42%,
74,2014,2014-11-16,10,11,26.227,PHI,@,GNB,L 20-53,,0,0,,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,41%,24,71%,
75,2014,2014-11-23,11,12,26.234,PHI,,TEN,W 43-24,,0,0,,0,0,0,0.0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,28,41%,19,50%,
76,2014,2014-11-27,12,13,26.238,PHI,@,DAL,W 33-10,,0,0,,0,0,0,1.0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0%,24,39%,15,54%,
77,2014,2014-12-07,13,14,26.248,PHI,,SEA,L 14-24,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,0,0%,31,36%,20,69%,
78,2014,2014-12-14,14,15,26.255,PHI,,DAL,L 27-38,,0,0,,0,0,0,0.0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0%,41,50%,19,59%,
79,2014,2014-12-20,15,16,26.261,PHI,@,WAS,L 24-27,*,0,0,,0,0,0,0.0,2,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0%,57,100%,11,41%,
80,2014,2014-12-28,16,17,26.269,PHI,@,NYG,W 34-26,,0,0,,0,0,0,0.0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,40,50%,19,49%,
81,2015,2015-09-14,1,1,27.164,PHI,@,ATL,L 24-26,*,0,0,,0,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,70%,6,19%,
82,2015,2015-09-20,2,2,27.170,PHI,,DAL,L 10-20,*,0,0,,0,0,0,0.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,67,79%,5,19%,
83,2015,2015-09-27,3,3,27.177,PHI,@,NYJ,W 24-17,,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,62%,3,9%,
84,2015,2015-10-04,4,4,27.184,PHI,@,WAS,L 20-23,*,0,0,,0,0,0,1.0,6,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0%,57,67%,5,17%,
85,2015,2015-10-11,5,5,27.191,PHI,,NOR,W 39-17,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0%,44,64%,3,10%,
86,2015,2015-10-19,6,6,27.199,PHI,,NYG,W 27-7,*,0,0,,0,0,0,1.0,4,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0%,45,66%,1,4%,
87,2015,2015-10-25,7,7,27.205,PHI,@,CAR,L 16-27,*,0,0,,0,0,0,0.0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,39,64%,5,17%,
88,2015,2015-11-08,8,9,27.219,PHI,@,DAL,W 33-27,*,0,0,,0,0,0,2.0,7,0,7,2,1,0,0,0,0,0,0,2,0,0,0,0,0%,61,78%,5,15%,
89,2015,2015-11-15,9,10,27.226,PHI,,MIA,L 19-20,*,0,0,,0,0,0,0.5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,51,76%,4,12%,
90,2015,2015-11-22,10,11,27.233,PHI,,TAM,L 17-45,*,0,0,,0,0,0,0.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,72%,7,22%,
91,2015,2015-11-26,11,12,27.237,PHI,@,DET,L 14-45,,0,0,,0,0,0,0.0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,47,65%,8,26%,
92,2015,2015-12-06,12,13,27.247,PHI,@,NWE,W 35-28,*,0,0,,0,0,0,2.0,4,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0%,67,75%,5,14%,
93,2015,2015-12-13,13,14,27.254,PHI,,BUF,W 23-20,*,0,0,,0,0,0,0.0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,63,85%,4,12%,
94,2015,2015-12-20,14,15,27.261,PHI,,ARI,L 17-40,,0,0,,0,0,0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,56,74%,7,24%,
95,2015,2015-12-26,15,16,27.267,PHI,,WAS,L 24-38,,0,0,,0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,59,78%,5,14%,
96,2015,2016-01-03,16,17,27.275,PHI,@,NYG,W 35-30,,0,0,,0,0,0,0.0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0%,46,55%,7,23%,
97,2016,2016-09-11,1,1,28.161,PHI,,CLE,W 29-10,*,0,0,,0,0,0,1.0,2,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0%,36,69%,2,7%,
98,2016,2016-09-19,2,2,28.169,PHI,@,CHI,W 29-14,*,0,0,,0,0,0,1.0,4,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,37,71%,5,18%,
99,2016,2016-09-25,3,3,28.175,PHI,,PIT,W 34-3,*,0,0,,0,0,0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0%,42,70%,2,8%,
100,2016,2016-10-09,4,5,28.189,PHI,@,DET,L 23-24,*,0,0,,0,0,0,0.0,5,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,53,87%,4,17%,
101,2016,2016-10-16,5,6,28.196,PHI,@,WAS,L 20-27,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,56,76%,7,23%,
102,2016,2016-10-23,6,7,28.203,PHI,,MIN,W 21-10,*,0,0,,0,0,0,1.0,2,1,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0%,57,75%,3,13%,
103,2016,2016-10-30,7,8,28.210,PHI,@,DAL,L 23-29,*,0,0,,0,0,0,0.0,2,4,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0%,63,82%,5,14%,
104,2016,2016-11-06,8,9,28.217,PHI,@,NYG,L 23-28,*,0,0,,0,0,0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,52,81%,4,13%,
105,2016,2016-11-13,9,10,28.224,PHI,,ATL,W 24-15,*,0,0,,0,0,0,1.0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0%,39,78%,5,18%,
106,2016,2016-11-20,10,11,28.231,PHI,@,SEA,L 15-26,*,0,0,,0,0,0,0.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,48,72%,6,21%,
107,2016,2016-11-28,11,12,28.239,PHI,,GNB,L 13-27,*,0,0,,0,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,54,76%,6,27%,
108,2016,2016-12-04,12,13,28.245,PHI,@,CIN,L 14-32,*,0,0,,0,0,0,0.0,6,3,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,49,77%,7,28%,
109,2016,2016-12-11,13,14,28.252,PHI,,WAS,L 22-27,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,69%,4,16%,
110,2016,2016-12-18,14,15,28.259,PHI,@,BAL,L 26-27,*,0,0,,0,0,0,0.5,3,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,43,74%,6,21%,
111,2016,2016-12-22,15,16,28.263,PHI,,NYG,W 24-19,*,0,0,,0,0,0,0.0,2,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0%,64,72%,5,18%,
112,2016,2017-01-01,16,17,28.273,PHI,,DAL,W 27-13,*,0,0,,0,0,0,0.0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0%,38,68%,3,11%,
