Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
111,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
112,2023,2023-12-17,14,15,29.015,GNB,,TAM,L 20-34,*,13,53,4.08,0,4,4,16,4.00,0,100.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,29,48%,0,0%,0,0%,
113,2023,2023-12-24,15,16,29.022,GNB,@,CAR,W 33-30,*,21,127,6.05,0,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0,0,0,0,0,0,34,52%,0,0%,0,0%,
114,2023,2023-12-31,16,17,29.029,GNB,@,MIN,W 33-10,*,20,120,6.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0,0,0,0,0,0,42,57%,0,0%,0,0%,
115,2023,2024-01-07,17,18,29.036,GNB,,CHI,W 17-9,*,22,111,5.05,0,5,5,30,6.00,0,100.0%,6.00,0,0,,0,,0,0,0,0,0,0,0,0,49,82%,0,0%,0,0%,
116,2024,2024-09-08,1,1,29.281,MIN,@,NYG,W 28-6,*,14,94,6.71,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,1,6,0,0,0,0,0,0,30,55%,0,0%,0,0%,
117,2024,2024-09-15,2,2,29.288,MIN,,SFO,W 23-17,*,9,32,3.56,0,6,5,36,7.20,0,83.3%,6.00,0,0,,0,,0,0,1,1,0,0,0,0,33,61%,0,0%,0,0%,
118,2024,2024-09-22,3,3,29.295,MIN,,HOU,W 34-7,*,19,102,5.37,0,6,5,46,9.20,1,83.3%,7.67,0,0,,0,,1,6,0,0,0,0,0,0,38,60%,0,0%,0,0%,
119,2024,2024-09-29,4,4,29.302,MIN,@,GNB,W 31-29,*,22,93,4.23,0,5,4,46,11.50,0,80.0%,9.20,0,0,,0,,0,0,0,0,0,0,0,0,56,82%,0,0%,0,0%,
120,2024,2024-10-06,5,5,29.309,MIN,,NYJ,W 23-17,*,7,29,4.14,0,1,1,24,24.00,0,100.0%,24.00,0,0,,0,,0,0,0,0,0,0,0,0,16,22%,0,0%,0,0%,
121,2024,2024-10-20,6,7,29.323,MIN,,DET,L 29-31,*,14,93,6.64,1,3,3,23,7.67,0,100.0%,7.67,0,0,,0,,1,6,0,0,0,0,0,0,43,72%,0,0%,0,0%,
122,2024,2024-10-24,7,8,29.327,MIN,@,LAR,L 20-30,*,19,58,3.05,0,2,2,37,18.50,0,100.0%,18.50,0,0,,0,,0,0,0,0,0,0,0,0,46,92%,0,0%,0,0%,
123,2024,2024-11-03,8,9,29.337,MIN,,IND,W 21-13,*,21,64,3.05,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,,0,0,0,0,0,0,0,0,55,75%,0,0%,0,0%,
124,2024,2024-11-10,9,10,29.344,MIN,@,JAX,W 12-7,*,17,88,5.18,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0,0,0,0,0,0,44,52%,0,0%,0,0%,
125,2024,2024-11-17,10,11,29.351,MIN,@,TEN,W 23-13,*,15,39,2.60,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,1,0,0,1,0,0,39,53%,0,0%,0,0%,
126,2024,2024-11-24,11,12,29.358,MIN,@,CHI,W 30-27,*,22,106,4.82,1,4,3,23,7.67,0,75.0%,5.75,0,0,,0,,1,6,1,1,0,0,0,0,56,79%,0,0%,0,0%,
