No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
12.0,Luke McCaffrey,23.0,WR,10,4.0,198.0,6-2,NebraskaRice,4/2/2001,Rook,,Washington Commanders / 3rd / 100th pick / 2024,McCaLu00
17.0,Terry McLaurin,29.0,WR,10,10.0,210.0,6-0,Ohio St.,9/15/1995,5,,Washington Redskins / 3rd / 76th pick / 2019,McLaTe00
26.0,Jeremy McNichols,29.0,RB,10,1.0,214.0,5-9,Boise St.,12/26/1995,7,,Tampa Bay Buccaneers / 5th / 162nd pick / 2017,McNiJe00
95.0,Jer'Zhan Newton,22.0,DT,9,4.0,295.0,6-2,Illinois,8/31/2002,Rook,,Washington Commanders / 2nd / 36th pick / 2024,NewtJe00
69.0,Tyler Ott,32.0,LS,10,0.0,252.0,6-3,Harvard,2/28/1992,9,,,OttxTy00
40.0,Tyler Owens,23.0,S,7,0.0,213.0,6-2,TexasTexas Tech,5/12/2001,Rook,,,OwenTy00
75.0,Chris Paul,26.0,G,3,0.0,324.0,6-4,Tulsa,11/19/1998,2,,Washington Commanders / 7th / 230th pick / 2022,PaulCh00
94.0,Daron Payne,27.0,DT,10,10.0,320.0,6-3,Alabama,5/27/1997,6,,Washington Redskins / 1st / 13th pick / 2018,PaynDa00
39.0,Jeremy Reaves,28.0,S,10,0.0,200.0,5-11,South Alabama,8/29/1996,6,,,ReavJe00
8.0,Brian Robinson Jr.,25.0,RB,7,6.0,228.0,6-1,Alabama,3/22/1999,2,,Washington Commanders / 3rd / 98th pick / 2022,RobiBr01
23.0,Chris Rodriguez,24.0,RB,4,0.0,224.0,5-11,Kentucky,9/26/2000,1,,Washington Commanders / 6th / 193rd pick / 2023,RodrCh00
0.0,Mike Sainristil,24.0,CB,10,9.0,182.0,5-10,Michigan,10/3/2000,Rook,,Washington Commanders / 2nd / 50th pick / 2024,SainMi00
73.0,Trenton Scott,30.0,T,10,1.0,320.0,6-5,Grambling St.,1/25/1994,6,,,ScotTr01
3.0,Austin Seibert,28.0,K,8,0.0,200.0,5-9,Oklahoma,11/15/1996,5,,Cleveland Browns / 5th / 170th pick / 2019,SeibAu00
82.0,Ben Sinnott,22.0,TE,10,1.0,247.0,6-4,Kansas St.,6/14/2002,Rook,,Washington Commanders / 2nd / 53rd pick / 2024,SinnBe00
25.0,Benjamin St-Juste,27.0,CB,10,10.0,200.0,6-3,MichiganMinnesota,9/8/1997,3,,Washington Football Team / 3rd / 74th pick / 2021,StJuBe00
54.0,Bobby Wagner,34.0,MLB,10,10.0,241.0,6-0,Utah St.,6/27/1990,12,,Seattle Seahawks / 2nd / 47th pick / 2012,WagnBo00
32.0,Mykal Walker,27.0,OLB,10,0.0,230.0,6-3,Azusa PacificFresno St.,8/28/1997,4,,Atlanta Falcons / 4th / 119th pick / 2020,WalkMy00
10.0,Tress Way,34.0,P,10,0.0,220.0,6-1,Oklahoma,4/18/1990,10,,,WayxTr00
71.0,Andrew Wylie,30.0,OL,9,9.0,309.0,6-6,Eastern Michigan,8/19/1994,6,,,WyliAn00
14.0,Olamide Zaccheaus,27.0,WR,10,3.0,193.0,5-8,Virginia,7/23/1997,5,,,ZaccOl01
38.0,Kevon Seymour (SUS),31.0,CB,2,0.0,188.0,6-0,USC,11/30/1993,8,,Buffalo Bills / 6th / 218th pick / 2016,SeymKe00
93.0,Jonathan Allen (IR),29.0,DT,6,6.0,300.0,6-3,Alabama,1/16/1995,7,,Washington Redskins / 1st / 17th pick / 2017,AlleJo01
80.0,Jamison Crowder (IR),31.0,WR,2,0.0,177.0,5-9,Duke,6/17/1993,9,,Washington Redskins / 4th / 105th pick / 2015,CrowJa00
90.0,Javontae Jean-Baptiste (IR),24.0,DE,6,0.0,260.0,6-5,Ohio St.Notre Dame,5/16/2000,Rook,,Washington Commanders / 7th / 222nd pick / 2024,JeanJa00
96.0,Norell Pollard (IR),24.0,DT,0,0.0,260.0,6-1,Virginia Tech,2/18/2000,Rook,,,PollNo00
41.0,Colson Yankoff (IR),24.0,TE,6,0.0,225.0,6-4,WashingtonUCLA,3/1/2000,Rook,,,YankCo00
,Team Total,27.4,,10,,242.5,6-2.3,,,4.6,,,-9999
