No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
55.0,Dre'Mont Jones,27.0,DE,11,7.0,281.0,6-3,Ohio St.,1/5/1997,5,,Denver Broncos / 3rd / 71st pick / 2019,JoneDr00
,Ernest Jones,25.0,LB,4,4.0,233.0,6-2,South Carolina,11/22/1999,3,,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01
48.0,Tyrice Knight,24.0,LB,10,4.0,233.0,6-0,Independence (KS)Texas-El Paso,12/20/2000,Rook,,Seattle Seahawks / 4th / 118th pick / 2024,KnigTy00
63.0,Sataoa Laumea,23.0,OG,0,0.0,319.0,6-4,Utah,1/13/2001,Rook,,Seattle Seahawks / 6th / 179th pick / 2024,LaumSa00
16.0,Tyler Lockett,32.0,WR,11,9.0,182.0,5-10,Kansas St.,9/28/1992,9,,Seattle Seahawks / 3rd / 69th pick / 2015,LockTy00
20.0,Julian Love,26.0,FS,11,11.0,195.0,5-11,Notre Dame,3/19/1998,5,,New York Giants / 4th / 108th pick / 2019,LoveJu00
72.0,Abraham Lucas,26.0,T,2,2.0,322.0,6-6,Washington St.,10/25/1998,2,,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
53.0,Boye Mafe,26.0,LB,9,6.0,261.0,6-4,Minnesota,11/30/1998,2,,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
25.0,Kenny McIntosh,24.0,RB,11,0.0,204.0,6-0,Georgia,3/3/2000,1,,Seattle Seahawks / 7th / 237th pick / 2023,McInKe00
14.0,D.K. Metcalf,27.0,WR,9,7.0,235.0,6-4,Mississippi,12/14/1997,5,,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00
94.0,Mike Morris,23.0,DE,10,0.0,295.0,6-6,Michigan,4/22/2001,1,,Seattle Seahawks / 5th / 151st pick / 2023,MorrMi00
91.0,Byron Murphy,22.0,DT,8,4.0,306.0,6-0,Texas,9/8/2002,Rook,,Seattle Seahawks / 1st / 16th pick / 2024,MurpBy01
5.0,Jason Myers,33.0,K,11,0.0,190.0,5-10,Marist,5/12/1991,9,,,MyerJa00
52.0,Patrick O'Connell,26.0,LB,3,0.0,227.0,6-1,Univ. of MaryMontana,12/31/1998,1,,,OConPa01
51.0,Olusegun Oluwatimi,25.0,C,6,2.0,309.0,6-3,Air ForceVirginiaMichigan,8/5/1999,1,,Seattle Seahawks / 5th / 154th pick / 2023,OluwOl00
28.0,Nehemiah Pritchett,23.0,CB,7,1.0,188.0,6-0,Auburn,2/11/2001,Rook,,Seattle Seahawks / 5th / 136th pick / 2024,PritNe00
90.0,Jarran Reed,32.0,NT,11,7.0,306.0,6-3,East Mississippi CCAlabama,12/16/1992,8,,Seattle Seahawks / 2nd / 49th pick / 2016,ReedJa02
32.0,Jerrick Reed,24.0,FS,4,0.0,196.0,5-9,Northwest Mississippi CCNew Mexico,8/7/2000,1,,Seattle Seahawks / 6th / 198th pick / 2023,ReedJe00
95.0,Roy Robertson-Harris,31.0,DT,5,0.0,290.0,6-5,Texas-El Paso,7/23/1993,7,,,RobeRo00
,Josh Ross,25.0,LB,4,0.0,229.0,6-0,Michigan,10/31/1999,2,,,RossJo01
38.0,Brady Russell,26.0,TE,9,0.0,250.0,6-3,Colorado,8/31/1998,1,,,RussBr00
1.0,Laviska Shenault Jr.,26.0,WR,10,1.0,224.0,6-1,Colorado,10/5/1998,4,,Jacksonville Jaguars / 2nd / 42nd pick / 2020,ShenLa00
7.0,Geno Smith,34.0,QB,11,11.0,221.0,6-3,West Virginia,10/10/1990,11,,New York Jets / 2nd / 39th pick / 2013,SmitGe00
11.0,Jaxon Smith-Njigba,22.0,WR,11,10.0,197.0,6-0,Ohio St.,2/14/2002,1,,Seattle Seahawks / 1st / 20th pick / 2023,SmitJa06
41.0,Chris Stoll,26.0,LS,11,0.0,255.0,6-2,Penn St.,8/3/1998,1,,,StolCh00
61.0,Jalen Sundell,25.0,C,6,0.0,301.0,6-5,North Dakota St.,10/18/1999,Rook,,,SundJa00
42.0,Drake Thomas,24.0,LB,11,0.0,228.0,5-11,North Carolina St.,2/25/2000,1,,,ThomDr00
70.0,Laken Tomlinson,32.0,G,11,11.0,323.0,6-3,Duke,2/9/1992,9,,Detroit Lions / 1st / 28th pick / 2015,TomlLa01
9.0,Kenneth Walker III,24.0,RB,9,9.0,211.0,5-9,Wake ForestMichigan St.,10/20/2000,2,,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00
82.0,Cody White,26.0,WR,3,0.0,215.0,6-3,Michigan St.,11/28/1998,3,,,WhitCo05
33.0,Dee Williams,25.0,CB,11,0.0,190.0,5-10,East Central CC (MS)Tennessee,12/6/1999,Rook,,,WillDe11
99.0,Leonard Williams,30.0,DE,10,10.0,300.0,6-5,USC,6/20/1994,9,,New York Jets / 1st / 6th pick / 2015,WillLe02
21.0,Devon Witherspoon,24.0,CB,11,11.0,185.0,6-0,Illinois,12/11/2000,1,,Seattle Seahawks / 1st / 5th pick / 2023,WithDe00
27.0,Riq Woolen,25.0,CB,9,9.0,210.0,6-4,Texas-San Antonio,5/2/1999,2,,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00
83.0,Dareke Young,25.0,WR,9,0.0,224.0,6-2,Lenoir-Rhyne,6/4/1999,2,,Seattle Seahawks / 7th / 233rd pick / 2022,YounDa02
44.0,Jamie Sheriff (PRA_),24.0,LB,1,0.0,265.0,6-2,Mississippi Gulf Coast CCSouth Alabama,8/18/2000,Rook,,,SherJa01
78.0,Stone Forsythe (IRD),27.0,T,6,5.0,307.0,6-8,Florida,12/29/1997,3,,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00
10.0,Uchenna Nwosu (IRD),28.0,LB,1,0.0,251.0,6-2,USC,12/28/1996,6,,Los Angeles Chargers / 2nd / 48th pick / 2018,NwosUc00
75.0,Anthony Bradford (IR),23.0,G,11,11.0,332.0,6-5,LSU,4/28/2001,1,,Seattle Seahawks / 4th / 108th pick / 2023,BradAn00
23.0,Artie Burns (IR),29.0,CB,1,0.0,187.0,6-0,Miami (FL),5/1/1995,8,,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
74.0,George Fant (IR),32.0,T,2,2.0,316.0,6-5,Western Kentucky,7/19/1992,8,,,FantGe00
49.0,Josh Onujiogu (IR),26.0,LB,0,0.0,252.0,6-2,Framingham St.,3/3/1998,2,,,OnujJo00
24.0,K'Von Wallace (IR),27.0,S,9,0.0,205.0,5-11,Clemson,7/25/1997,4,,Philadelphia Eagles / 4th / 127th pick / 2020,WallKV00
93.0,Cameron Young (IR),24.0,NT,1,0.0,304.0,6-3,Mississippi St.,6/8/2000,1,,Seattle Seahawks / 4th / 123rd pick / 2023,YounCa00
,Team Total,26.3,,11,,247.5,6-2.0,,,3.3,,,-9999
