No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
1.0,Jalen Hurts,26,QB,9,9.0,223.0,6-1,AlabamaOklahoma,8/7/1998,4,,Philadelphia Eagles / 2nd / 53rd pick / 2020,HurtJa00
74.0,Fred Johnson,27,T,9,5.0,326.0,6-7,Florida,6/5/1997,5,,,JohnFr01
65.0,Lane Johnson,34,T,8,8.0,325.0,6-6,Kilgore CollegeOklahoma,5/8/1990,11,,Philadelphia Eagles / 1st / 4th pick / 2013,JohnLa01
51.0,Cam Jurgens,25,OL,9,9.0,303.0,6-3,Nebraska,8/21/1999,2,,Philadelphia Eagles / 2nd / 51st pick / 2022,JurgCa01
79.0,Trevor Keegan,24,G,0,0.0,306.0,6-5,Michigan,8/30/2000,Rook,,Philadelphia Eagles / 5th / 172nd pick / 2024,KeegTr00
72.0,Darian Kinnard,25,G,1,0.0,322.0,6-5,Kentucky,12/29/1999,2,,Kansas City Chiefs / 5th / 145th pick / 2022,KinnDa00
49.0,Rick Lovato,32,LS,9,0.0,249.0,6-2,Old Dominion,9/9/1992,9,,,LovaRi00
29.0,Avonte Maddox,28,CB,9,2.0,184.0,5-9,Pittsburgh,3/31/1996,6,,Philadelphia Eagles / 4th / 125th pick / 2018,MaddAv00
68.0,Jordan Mailata,27,T,5,5.0,365.0,6-8,,3/31/1997,4,,Philadelphia Eagles / 7th / 233rd pick / 2018,MailJo00
10.0,Braden Mann,27,P,9,0.0,198.0,5-11,Texas A&M,11/24/1997,4,,New York Jets / 6th / 191st pick / 2020,MannBr01
36.0,Tristin McCollum,25,S,7,0.0,195.0,6-3,Sam Houston St.,5/3/1999,1,,,McCoTr00
16.0,Tanner McKee,24,QB,0,0.0,231.0,6-6,Stanford,4/27/2000,Rook,,Philadelphia Eagles / 6th / 188th pick / 2023,McKeTa01
27.0,Quinyon Mitchell,23,CB,9,9.0,193.0,6-0,Toledo,7/18/2001,Rook,,Philadelphia Eagles / 1st / 22nd pick / 2024,MitcQu00
97.0,Moro Ojomo,23,DT,9,0.0,292.0,6-3,Texas,8/15/2001,1,,Philadelphia Eagles / 7th / 249th pick / 2023,OjomMo00
7.0,Kenny Pickett,26,QB,2,0.0,220.0,6-3,Pittsburgh,6/6/1998,2,,Pittsburgh Steelers / 1st / 20th pick / 2022,PickKe00
23.0,Eli Ricks,23,CB,3,0.0,188.0,6-2,LSUAlabama,9/26/2001,1,,,RickEl00
22.0,Kelee Ringo,22,CB,9,0.0,207.0,6-2,Georgia,6/27/2002,1,,Philadelphia Eagles / 4th / 105th pick / 2023,RingKe00
34.0,Isaiah Rodgers,26,CB,7,1.0,170.0,5-10,Massachusetts,1/7/1998,4,,Indianapolis Colts / 6th / 211th pick / 2020,RodgIs00
28.0,Will Shipley,22,RB,9,1.0,209.0,5-11,Clemson,8/29/2002,Rook,,Philadelphia Eagles / 4th / 127th pick / 2024,ShipWi00
2.0,Darius Slay,33,CB,8,8.0,190.0,6-0,Mississippi St.,1/1/1991,11,,Detroit Lions / 2nd / 36th pick / 2013,SlayDa00
82.0,Ainias Smith,23,WR,3,0.0,176.0,5-9,Texas A&M,5/31/2001,Rook,,Philadelphia Eagles / 5th / 152nd pick / 2024,SmitAi00
6.0,DeVonta Smith,26,WR,8,8.0,170.0,6-0,Alabama,11/14/1998,3,,Philadelphia Eagles / 1st / 10th pick / 2021,SmitDe07
3.0,Nolan Smith,23,OLB,9,3.0,238.0,6-2,Georgia,1/18/2001,1,,Philadelphia Eagles / 1st / 30th pick / 2023,SmitNo02
56.0,Tyler Steen,24,OL,9,1.0,321.0,6-6,VanderbiltAlabama,6/24/2000,1,,Philadelphia Eagles / 3rd / 65th pick / 2023,SteeTy00
19.0,Josh Sweat,27,OLB,9,8.0,265.0,6-5,Florida St.,3/29/1997,6,,Philadelphia Eagles / 4th / 130th pick / 2018,SweaJo00
54.0,Jeremiah Trotter Jr.,22,LB,9,0.0,225.0,6-0,Clemson,12/24/2002,Rook,,Philadelphia Eagles / 5th / 155th pick / 2024,TrotJe01
57.0,Ben VanSumeren,24,LB,9,1.0,231.0,6-2,MichiganMichigan St.,5/5/2000,1,,,VanSBe00
93.0,Milton Williams,25,DT,9,5.0,290.0,6-3,Louisiana Tech,4/6/1999,3,,Philadelphia Eagles / 3rd / 73rd pick / 2021,WillMi08
89.0,Johnny Wilson,23,WR,9,2.0,228.0,6-6,Arizona St.Florida St.,4/3/2001,Rook,,Philadelphia Eagles / 6th / 185th pick / 2024,WilsJo03
38.0,John Ross (PRA_),29,WR,1,0.0,190.0,5-11,Washington,11/27/1995,7,,Cincinnati Bengals / 1st / 9th pick / 2017,RossJo00
24.0,James Bradberry (IR),31,CB,0,0.0,210.0,6-1,Arkansas St.Samford,8/4/1993,8,,Carolina Panthers / 2nd / 62nd pick / 2016,BradJa00
73.0,Le'Raven Clark (IR),31,T,0,0.0,319.0,6-5,Texas Tech,4/22/1993,8,,Indianapolis Colts / 3rd / 82nd pick / 2016,ClarLe01
18.0,Britain Covey (IR),27,WR,3,0.0,173.0,5-8,Utah,3/18/1997,2,,,CoveBr00
94.0,Byron Young (IR),24,DT,0,0.0,292.0,6-3,Alabama,11/10/2000,1,,Las Vegas Raiders / 3rd / 70th pick / 2023,YounBy00
,Team Total,26,,9,,243.4,6-2.0,,,3.4,,,-9999
